matrix_taxon, vto, vto_label, ott_id
"Silurus cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Pterocryptis cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Parasilurus cochinchinensis",VTO_0036152,"Pterocryptis cochinchinensis",ott203412
"Ompok bimaculatus",VTO_0036165,"Ompok bimaculatus",ott670820
"Ompok siluroides",VTO_0036165,"Ompok bimaculatus",ott670820
"Nematogenys inermis",VTO_0036174,"Nematogenys inermis",ott1074074
"Noturus elegans",VTO_0036252,"Noturus elegans",ott411931
"Noturus albater",VTO_0036253,"Noturus albater",ott676110
"Noturus eleutherus",VTO_0036254,"Noturus eleutherus",ott411926
"Noturus flavater",VTO_0036257,"Noturus flavater",ott411923
"Noturus miurus",VTO_0036259,"Noturus miurus",ott282530
"Noturus stigmosus",VTO_0036261,"Noturus stigmosus",ott903466
"Noturus flavus",VTO_0036263,"Noturus flavus",ott101864
"Ameiurus melas",VTO_0036272,"Ameiurus melas",ott343941
"Ictalurus melas",VTO_0036272,"Ameiurus melas",ott343941
"Ameiurus brunneus",VTO_0036273,"Ameiurus brunneus",ott343933
"Ameiurus platycephalus",VTO_0036276,"Ameiurus platycephalus",ott1070418
"Ameiurus serracanthus",VTO_0036277,"Ameiurus serracanthus",ott1070414
"Plotosus lineatus",VTO_0036304,"Plotosus lineatus",ott949069
"Phractocephalus hemioliopterus",VTO_0036332,"Phractocephalus hemioliopterus",ott186917
"Phractocephalus hemiliopterus",VTO_0036332,"Phractocephalus hemioliopterus",ott186917
"Rhamdia guatemalensis",VTO_0036335,"Rhamdia guatemalensis",ott195322
"Rhamdia quelen",VTO_0036338,"Rhamdia quelen",ott730419
"Rhamdia hilarii",VTO_0036338,"Rhamdia quelen",ott730419
"Rhamdia laticauda",VTO_0036343,"Rhamdia laticauda",ott497013
"Rhamdia hypselura",VTO_0036343,"Rhamdia laticauda",ott497013
"Sorubim lima",VTO_0036362,"Sorubim lima",ott758758
"Zungaro zungaro",VTO_0036372,"Zungaro zungaro",ott676189
"Euchiloglanis kishinoueyi",VTO_0036532,"Euchiloglanis kishinouyei",ott93062
"Euchiloglanis kishinouyei",VTO_0036533,"Euchiloglanis davidi",ott538060
"Glyptothorax fukiensis",VTO_0036556,"Glyptothorax fokiensis",ott267009
"Glyptothorax trilineatus",VTO_0036563,"Glyptothorax trilineatus",ott542349
"Oreoglanis labiatum",VTO_0036594,"Exostoma labiatum",ott256923
"Exostoma labiatum",VTO_0036594,"Exostoma labiatum",ott256923
"Oreoglanis delacouri",VTO_0036606,"Oreoglanis delacouri",ott537278
"Bagarius yarrelli",VTO_0036610,"Bagarius yarrelli",ott538067
"Gagata cenia",VTO_0036624,"Gagata cenia",ott677782
"Oxydoras niger",VTO_0036652,"Oxydoras niger",ott50911
"Pseudodoras niger",VTO_0036652,"Oxydoras niger",ott50911
"Anadoras grypus",VTO_0036665,"Anadoras grypus",ott102009
"Megalodoras irwini",VTO_0036667,"Megalodoras uranoscopus",ott623736
"Megalodoras iriwini",VTO_0036667,"Megalodoras uranoscopus",ott623736
"Leptodoras linnelli",VTO_0036674,"Leptodoras linnelli",ott267805
"Doras Iipophthalmus",VTO_0036679,"Anduzedoras oxyrhynchus",ott267803
"Platydoras costatus",VTO_0036686,"Platydoras costatus",ott623745
"Orinocodoras eigenmanni",VTO_0036688,"Orinocodoras eigenmanni",ott1090782
"Doras carinatus",VTO_0036697,"Doras carinatus",ott571686
"Hemidoras carinatus",VTO_0036697,"Doras carinatus",ott571686
"Agamyxis albomaculatus",VTO_0036705,"Agamyxis albomaculatus",ott50910
"Doras maculatus",VTO_0036713,"Pterodoras granulosus",ott50908
"Pterodoras granulosus",VTO_0036713,"Pterodoras granulosus",ott50908
"Synodontis clarias",VTO_0036771,"Synodontis clarias",ott1090786
"Pterygoplichthys zuliaensis",VTO_0036839,"Pterygoplichthys zuliaensis",ott567608
"Hypostomus ammophilus",VTO_0036842,"Aphanotorulus ammophilus",ott617541
"Hypostomus squalinus",VTO_0036851,"Squaliforma squalina",ott698182
"Hypostomus albopunctatus",VTO_0036875,"Hypostomus albopunctatus",ott174957
"Hypostomus boulengeri",VTO_0036902,"Hypostomus boulengeri",ott617549
"Hypostomus plecostomus",VTO_0036903,"Hypostomus plecostomus",ott96090
"Hypoptopoma commersonii",VTO_0036905,"Hypostomus commersoni",ott567603
"Hypostomus commersoni",VTO_0036905,"Hypostomus commersoni",ott567603
