"matrix_taxon","vto","vto_label"
"Cranoglanis sinensis","http://purl.obolibrary.org/obo/VTO_0035547","Cranoglanis bouderius"
"Liobagrus anguillicauda","http://purl.obolibrary.org/obo/VTO_0035568","Liobagrus anguillicauda"
"Pimelodella cristata","http://purl.obolibrary.org/obo/VTO_0035619","Pimelodella cristata"
"Imparfinis lineatus","http://purl.obolibrary.org/obo/VTO_0035662","Imparfinis lineatus"
"Cathorops spp.","http://purl.obolibrary.org/obo/VTO_0035691","Cathorops"
"Aelurichthys panamensis","http://purl.obolibrary.org/obo/VTO_0035725","Bagre panamensis"
"Bagre marinus","http://purl.obolibrary.org/obo/VTO_0035726","Bagre marinus"
"Aelurichthys bahiensis","http://purl.obolibrary.org/obo/VTO_0035726","Bagre marinus"
"Galeichthys eigenmanni","http://purl.obolibrary.org/obo/VTO_0035841","Sciades seemanni"
"Silurus soldatovi meridionalis","http://purl.obolibrary.org/obo/VTO_0036129","Silurus meridionalis"
"Silurus cochinchinensis","http://purl.obolibrary.org/obo/VTO_0036152","Pterocryptis cochinchinensis"
"Pterocryptis cochinchinensis","http://purl.obolibrary.org/obo/VTO_0036152","Pterocryptis cochinchinensis"
"Parasilurus cochinchinensis","http://purl.obolibrary.org/obo/VTO_0036152","Pterocryptis cochinchinensis"
"Ompok bimaculatus","http://purl.obolibrary.org/obo/VTO_0036165","Ompok bimaculatus"
"Ompok siluroides","http://purl.obolibrary.org/obo/VTO_0036165","Ompok bimaculatus"
"Nematogenys inermis","http://purl.obolibrary.org/obo/VTO_0036174","Nematogenys inermis"
"Noturus elegans","http://purl.obolibrary.org/obo/VTO_0036252","Noturus elegans"
"Noturus albater","http://purl.obolibrary.org/obo/VTO_0036253","Noturus albater"
"Noturus eleutherus","http://purl.obolibrary.org/obo/VTO_0036254","Noturus eleutherus"
"Noturus flavater","http://purl.obolibrary.org/obo/VTO_0036257","Noturus flavater"
"Noturus miurus","http://purl.obolibrary.org/obo/VTO_0036259","Noturus miurus"
"Noturus stigmosus","http://purl.obolibrary.org/obo/VTO_0036261","Noturus stigmosus"
"Noturus flavus","http://purl.obolibrary.org/obo/VTO_0036263","Noturus flavus"
"Ameiurus melas","http://purl.obolibrary.org/obo/VTO_0036272","Ameiurus melas"
"Ictalurus melas","http://purl.obolibrary.org/obo/VTO_0036272","Ameiurus melas"
"Ameiurus brunneus","http://purl.obolibrary.org/obo/VTO_0036273","Ameiurus brunneus"
"Ameiurus platycephalus","http://purl.obolibrary.org/obo/VTO_0036276","Ameiurus platycephalus"
"Ameiurus serracanthus","http://purl.obolibrary.org/obo/VTO_0036277","Ameiurus serracanthus"
"Plotosus lineatus","http://purl.obolibrary.org/obo/VTO_0036304","Plotosus lineatus"
"Phractocephalus hemioliopterus","http://purl.obolibrary.org/obo/VTO_0036332","Phractocephalus hemioliopterus"
"Phractocephalus hemiliopterus","http://purl.obolibrary.org/obo/VTO_0036332","Phractocephalus hemioliopterus"
"Rhamdia guatemalensis","http://purl.obolibrary.org/obo/VTO_0036335","Rhamdia guatemalensis"
"Rhamdia quelen","http://purl.obolibrary.org/obo/VTO_0036338","Rhamdia quelen"
"Rhamdia hilarii","http://purl.obolibrary.org/obo/VTO_0036338","Rhamdia quelen"
"Rhamdia laticauda","http://purl.obolibrary.org/obo/VTO_0036343","Rhamdia laticauda"
"Rhamdia hypselura","http://purl.obolibrary.org/obo/VTO_0036343","Rhamdia laticauda"
"Sorubim lima","http://purl.obolibrary.org/obo/VTO_0036362","Sorubim lima"
"Zungaro zungaro","http://purl.obolibrary.org/obo/VTO_0036372","Zungaro zungaro"
"Euchiloglanis kishinoueyi","http://purl.obolibrary.org/obo/VTO_0036532","Euchiloglanis kishinouyei"
"Euchiloglanis kishinouyei","http://purl.obolibrary.org/obo/VTO_0036533","Euchiloglanis davidi"
"Glyptothorax fukiensis","http://purl.obolibrary.org/obo/VTO_0036556","Glyptothorax fokiensis"
"Glyptothorax trilineatus","http://purl.obolibrary.org/obo/VTO_0036563","Glyptothorax trilineatus"
"Oreoglanis labiatum","http://purl.obolibrary.org/obo/VTO_0036594","Exostoma labiatum"
"Exostoma labiatum","http://purl.obolibrary.org/obo/VTO_0036594","Exostoma labiatum"
"Oreoglanis delacouri","http://purl.obolibrary.org/obo/VTO_0036606","Oreoglanis delacouri"
"Bagarius yarrelli","http://purl.obolibrary.org/obo/VTO_0036610","Bagarius yarrelli"
"Gagata cenia","http://purl.obolibrary.org/obo/VTO_0036624","Gagata cenia"
"Oxydoras niger","http://purl.obolibrary.org/obo/VTO_0036652","Oxydoras niger"
"Pseudodoras niger","http://purl.obolibrary.org/obo/VTO_0036652","Oxydoras niger"
"Anadoras grypus","http://purl.obolibrary.org/obo/VTO_0036665","Anadoras grypus"
"Megalodoras irwini","http://purl.obolibrary.org/obo/VTO_0036667","Megalodoras uranoscopus"
"Megalodoras iriwini","http://purl.obolibrary.org/obo/VTO_0036667","Megalodoras uranoscopus"
"Leptodoras linnelli","http://purl.obolibrary.org/obo/VTO_0036674","Leptodoras linnelli"
