vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0007309,Bufo bufo,bufo,bufo,0bc4b228-7632-4717-bf3e-9210fdb6e575,bufonidae,bufo,bufo,16.920000000000005,-92.56,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0041983,Diodontidae,diodontidae,,0bc568c5-8ecf-4211-abca-11d0d21028ae,diodontidae,chilomycterus,schoepfii,30.42111,-87.21694,,,,,,,,,,,,0,1,0
VTO:0041989,Chilomycterus schoepfii,chilomycterus,schoepfii,0bc568c5-8ecf-4211-abca-11d0d21028ae,diodontidae,chilomycterus,schoepfii,30.42111,-87.21694,,,,,,,,,,,,0,?,0
VTO:0034009,Muraenidae,muraenidae,,0bc76831-4b31-4e5a-b1d8-ad1f43cde8f6,muraenidae,anarchias,similis,37.015,-71.2916666667,,,,,,,,,,,,0,0,0
VTO:0054207,Poeciliidae,poeciliidae,,0bc83f42-64bd-4f7e-b8aa-e9b28f808929,poeciliidae,gambusia,affinis,30.6533333,-86.9936111,,,,,,,,,,,,?,1,?
VTO:0043786,Ammodytidae,ammodytidae,,0bc99de0-be52-4a88-b281-102a92ba4682,ammodytidae,ammodytes,hexapterus,56.9002778,-156.2188889,,,,,,,,,,,,0 and 1,1,0
VTO:0007309,Bufo bufo,bufo,bufo,0bcab102-97bc-4909-b4f8-e37662d40414,bufonidae,bufo,bufo,40.60713,-111.57897,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0002637,Spea bombifrons,spea,bombifrons,0bcbe762-c6a7-4208-baba-5a7a135d4b9d,scaphiopodidae,spea,bombifrons,37.991401078901205,-98.04311171069922,?,1,?,1,?,?,?,1,1,?,?,,,
VTO:0057324,Myctophidae,myctophidae,,0bcd993e-e243-4495-a333-0d81780a8fea,myctophidae,gymnoscopelus,,-49.5666667,-110.4333333,,,,,,,,,,,,1,?,?
VTO:0057324,Myctophidae,myctophidae,,0bcdc8c9-a0f8-468e-ac90-4f7235c2786e,myctophidae,lampanyctus,,32.7083333333,-71.2083333333,,,,,,,,,,,,1,?,?
VTO:0041447,Catostomus catostomus,catostomus,catostomus,0bcdfe62-dfbd-40b9-99fc-d439d7df6e4f,catostomidae,catostomus,catostomus,42.129392,-104.926625,,,,,,,,,,,,1,?,?
VTO:0055812,Paralichthyidae,paralichthyidae,,0bceca05-3011-4c0d-aeed-70353d57a83b,paralichthyidae,,,30.4175,-87.39555,,,,,,,,,,,,?,1,?
VTO:0041391,Moxostoma erythrurum,moxostoma,erythrurum,0bcf6e10-c8e5-4877-8aaf-072b1391a414,catostomidae,moxostoma,erythrurum,34.885,-87.7675,,,,,,,,,,,,1,?,?
VTO:0041437,Erimyzon oblongus,erimyzon,oblongus,0bd01899-ff15-46ef-a32c-8e15d61a87ac,catostomidae,erimyzon,oblongus,32.8897222,-87.2933333,,,,,,,,,,,,1,1,?
VTO:0002638,Spea intermontana,spea,intermontana,0bd1a3f3-b4f3-4cdd-ade4-9d0d775860c9,scaphiopodidae,spea,intermontana,38.96403,-117.1143,?,1,?,1,?,?,?,1,?,?,?,,,
VTO:0040218,Hybopsis amblops,hybopsis,amblops,0bd3f876-e841-41f3-bf60-0cc88aace79d,cyprinidae,hybopsis,amblops,35.471296,-94.86779,,,,,,,,,,,,1,1,?
VTO:0057869,Stomiidae,stomiidae,,0bd4c750-2b4f-4187-ac74-700e0bcfc297,stomiidae,stomias,atriventer,27.7861111,-115.6958333,,,,,,,,,,,,1,0 and 1,?
VTO:0052552,Liparis inquilinus,liparis,inquilinus,0bd5acfb-98ec-4ac4-8956-4bdbb8ec8a19,liparidae,liparis,inquilinus,36.4266666667,-74.78333333,,,,,,,,,,,,?,1,?
VTO:0052519,Liparidae,liparidae,,0bd5acfb-98ec-4ac4-8956-4bdbb8ec8a19,liparidae,liparis,inquilinus,36.4266666667,-74.78333333,,,,,,,,,,,,0 and 1,1,0
VTO:0052741,Cottidae,cottidae,,0bd7f3dc-6def-4adf-a7e6-caa3523d3076,cottidae,radulinus,vinculus,34.003824,-120.018424,,,,,,,,,,,,0 and 1,1,0
VTO:0043259,Carangidae,carangidae,,0bd7f8ef-4b75-4c2f-aa12-fc7914f0c70b,carangidae,selar,crumenophthalmus,40.9583333333,-63.5916666667,,,,,,,,,,,,0 and 1,1,0
VTO:0039634,Campostoma anomalum,campostoma,anomalum,0bd8da4f-f1e9-4f67-938d-5db9d4bf961f,cyprinidae,campostoma,anomalum,35.246787,-83.39587,,,,,,,,,,,,1,1,?
