 "matrix_taxon" , "vto" , "vto_label" , "collection" , "catNum" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65436" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65437" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65438" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65439" ,
 "Lefua costata" , "http://purl.obolibrary.org/obo/VTO_0041262" , "Lefua costata" , "HUMZ" , "65433" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58471" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58472" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58473" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58474" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58475" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58476" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58477" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58478" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58470" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58479" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58467" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58468" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58480" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "58469" ,
 "Lefua echigonia" , "http://purl.obolibrary.org/obo/VTO_0041263" , "Lefua echigonia" , "HUMZ" , "90394" ,
 "Notropis perpallidus" , "http://purl.obolibrary.org/obo/VTO_0040371" , "Notropis perpallidus" , "NLU" , "35641" ,
 "Notropis amabilis" , "http://purl.obolibrary.org/obo/VTO_0040377" , "Notropis amabilis" , "NLU" , "17245" ,
 "Notropis ariommus" , "http://purl.obolibrary.org/obo/VTO_0040380" , "Notropis ariommus" , "NLU" , "39513" ,
 "Notropis nubilus" , "http://purl.obolibrary.org/obo/VTO_0040367" , "Notropis nubilus" , "OSM" , "69683" ,
 "Notropis nubilus" , "http://purl.obolibrary.org/obo/VTO_0040367" , "Notropis nubilus" , "OSM" , "69684" ,
 "Notropis nubilus" , "http://purl.obolibrary.org/obo/VTO_0040367" , "Notropis nubilus" , "OSM" , "69493" ,
 "Notropis nubilus" , "http://purl.obolibrary.org/obo/VTO_0040367" , "Notropis nubilus" , "OSM" , "69494" ,
 "Notropis nubilus" , "http://purl.obolibrary.org/obo/VTO_0040367" , "Notropis nubilus" , "OSM" , "38122" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "23857" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "35540" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "55038" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "69636" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "69642" ,
 "Notropis photogenis" , "http://purl.obolibrary.org/obo/VTO_0040369" , "Notropis photogenis" , "OSM" , "55013" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69542" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69543" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69679" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69703" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69620" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "69544" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "36255" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "58021" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "21439" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "37164" ,
 "Notropis hudsonius" , "http://purl.obolibrary.org/obo/VTO_0040370" , "Notropis hudsonius" , "OSM" , "55041" ,
 "Notropis perpallidus" , "http://purl.obolibrary.org/obo/VTO_0040371" , "Notropis perpallidus" , "OSM" , "41905" ,
 "Notropis amabilis" , "http://purl.obolibrary.org/obo/VTO_0040377" , "Notropis amabilis" , "OSM" , "69648" ,
 "Notropis boops" , "http://purl.obolibrary.org/obo/VTO_0040378" , "Notropis boops" , "OSM" , "44074" ,
 "Notropis boops" , "http://purl.obolibrary.org/obo/VTO_0040378" , "Notropis boops" , "OSM" , "27921" ,
