matrix_taxon, vto, ott_id
"Hypostomus albopunctatus", VTO_0036875, ott174957
"Hypostomus boulengeri", VTO_0036902, ott617549
"Hypostomus plecostomus", VTO_0036903, ott96090
"Hypoptopoma commersonii", VTO_0036905, ott567603
"Hypostomus commersoni", VTO_0036905, ott567603
"Hypostomus punctatus", VTO_0036907, ott96085
"Hypostomus verres", VTO_0036909, ott96093
"Neoplecostomus paranensis", VTO_0037207, ott790485
"Hypophthalmus edentatus", VTO_0037375, ott758735
"Micralestes acutidens", VTO_0037792, ott763331
"Bryconaethiops macrops", VTO_0037808, ott660649
"Alestes longipinnis", VTO_0037812, ott440383
"Brycinus longipinnis", VTO_0037812, ott440383
"Bryconalestes longipinnis", VTO_0037812, ott440383
"Alestes macrolepidotus", VTO_0037814, ott660656
"Brycinus macrolepidotus", VTO_0037814, ott660656
"Brycinus aff. opisthotaenia", VTO_0037817, ott660647
"Serrasalmus rhombeus", VTO_0037926, ott382210
"Brycon opalinus", VTO_0038002, ott778219
"Brycon guatemalensis", VTO_0038007, ott573662
"Brycon striatulus", VTO_0038008, ott573664
"Brycon chagrensis", VTO_0038011, ott573677
"Brycon argenteus", VTO_0038013, ott1086
"Brycon oligolepis", VTO_0038014, ott573674
"Brycon aff. meeki", VTO_0038016, ott1071
"Brycon insignis", VTO_0038026, ott219092
"Astyanax fasciatus", VTO_0038207, ott66525
"Prochilodus rubrotaeniatus", VTO_0038479, ott17173
"Prochilodus mariae", VTO_0038481, ott757635
"Prochilodus nigricans", VTO_0038482, ott757632
"Prochilodus magdalenae", VTO_0038483, ott234331
"Semaprochilodus kneri", VTO_0038490, ott1048667
"Leporinus friderici", VTO_0038661, ott45117
"Hybopsis micropogon", VTO_0038704, ott644727
"Nocomis micropogon", VTO_0038704, ott644727
"Zacco temminckii", VTO_0038710, ott361232
"Zacco temminickii", VTO_0038710, ott361232
"Hybognathus hankinsoni", VTO_0038719, ott122959
"Garra rufus", VTO_0038733, ott709588
"Opsariichthys bidens", VTO_0038789, ott394650
"Rhodeus sinensis", VTO_0038840, ott185860
"Rasbora daniconius", VTO_0038888, ott51916
"Rasboroides vaterifloris", VTO_0038890, ott51900
"Saurogobio dabryi", VTO_0039020, ott303757
"Tor putitora", VTO_0039043, ott720179
"Culter alburnus", VTO_0039064, ott344195
"Pimephales tenellus", VTO_0039109, ott437004
"Spinibarbus hollandi", VTO_0039138, ott545621
"Pteronotropis euryzonus", VTO_0039311, ott742785
"Pteronotropis signipinnis", VTO_0039313, ott742771
"Notropis welaka", VTO_0039314, ott742775
"Pteronotropis welaka", VTO_0039314, ott742775
"Notropis hubbsi", VTO_0039315, ott742761
"Notropis hypselopterus", VTO_0039316, ott742766
"Pteronotropis hypselopterus", VTO_0039316, ott742766
"Osteocheilus hasseltii", VTO_0039384, ott110144
"Hampala macrolepidota", VTO_0039388, ott110134
"Mystacoleucus marginatus", VTO_0039418, ott361286
"Yuriria alta", VTO_0039511, ott556015
"Labeo niloticus", VTO_0039567, ott1026922
"Plagopterus argentissimus", VTO_0039616, ott644724
"Moapa coriacea", VTO_0039625, ott644730
"Elopichthys bambusa", VTO_0039640, ott985355
"Cirrhinus chinensis", VTO_0039648, ott545616
"Hypophthalmichthys molitrix", VTO_0039762, ott35786
"Danio dangila", VTO_0039829, ott292317
"Danio nigrofasciatus", VTO_0039832, ott536579
"Rhinogobio typus", VTO_0039843, ott177927
"Aphyocypris chinensis", VTO_0039889, ott279724
"Sawbwa resplendens", VTO_0039902, ott1026924
"Aztecula sallei", VTO_0039952, ott556026
"Tribolodon", VTO_0039955, ott790846
"Tribolodon hakuensis", VTO_0039956, ott372585
"Tribolodon hakonensis", VTO_0039956, ott372585
"Ischikauia steenackeri", VTO_0040063, ott84197
"Cyprinella", VTO_0040252, ott130202
"Notropis spilopterus", VTO_0040253, ott373838
"Cyprinella spiloptera", VTO_0040253, ott373838
"Notropis texanus", VTO_0040343, ott550208
"Notropis telescopus", VTO_0040346, ott550190
"Notropis scepticus", VTO_0040347, ott550187
"Notropis stilbius", VTO_0040348, ott550184
"Notropis calientis", VTO_0040359, ott556018
"Hybopsis calientis", VTO_0040359, ott556018
"Notropis imeldae", VTO_0040361, ott556021
"Notropis mekistocholas", VTO_0040364, ott698753
"Notropis oxyrhynchus", VTO_0040365, ott550196
"Netuma planifrons", VTO_0035734, ott516578
"Arius utarus", VTO_0035738, ott801
"Ariopsis utarus", VTO_0035738, ott801
"Arius graeffei", VTO_0035742, ott875859
"Arius australis", VTO_0035742, ott875859
"Ariopsis graeffei", VTO_0035742, ott875859
"Arius curtisii", VTO_0035742, ott875859
"Arius leptaspis", VTO_0035743, ott818
"Ariopsis leptaspis", VTO_0035743, ott818
"Hexanematichthys leptaspis", VTO_0035743, ott818
"Ariopsis berneyi", VTO_0035744, ott52816
"Arius cleptolepis", VTO_0035744, ott52816
"Tachysurus (Pararius) berneyi", VTO_0035744, ott52816
"Arius midgleyi", VTO_0035745, ott875864
"Ariopsis midgleyi", VTO_0035745, ott875864
"Cochlefelis spatula", VTO_0035747, ott516557
"Arius spatula", VTO_0035747, ott516557
"Arius (Hemiarius) danielsi", VTO_0035748, ott992719
"Cochlefelis danielsi", VTO_0035748, ott992719
"Hemipimelodus cochlearis", VTO_0035750, ott769705
"Cryptarius n.g. truncatus", VTO_0035750, ott769705
"Arius truncatus", VTO_0035750, ott769705
"Cinetodus crassilabris", VTO_0035754, ott1043035
"Hemipimelodus crassilabris", VTO_0035754, ott1043035
"Arius (Hemiarius) carinatus", VTO_0035755, ott992748
"Cinetodus carinatus", VTO_0035755, ott992748
"Cinetodus froggatti", VTO_0035756, ott992743
"Arius froggatti", VTO_0035756, ott992743
"Potamarius nelsoni", VTO_0035758, ott195714
"Conorhynchos nelsoni", VTO_0035758, ott195714
"Ketengus typus", VTO_0035763, ott494902
"Arius leiotetocephalus", VTO_0035775, ott182143
"Plicofollis n.g. nella", VTO_0035775, ott182143
"Pimelodus nella", VTO_0035775, ott182143
"Arius hamiltonis", VTO_0035776, ott625716
"Plicofollis n.g. argyropleuron", VTO_0035776, ott625716
"Hemipimelodus colcloughi", VTO_0035776, ott625716
"Arius argyropleuron", VTO_0035776, ott625716
